Identifier,Name,Symbol,Region,Country,Sector,Market Cap $US,Cap Tier,Current Price
S664,CLEVO TWD10,,Asia Pacific ex Japan,Taiwan,Information Technology,"686,900,000.00",Small,84.51
S665,CLICKS GROUP LTD ZAR0.01,,"Central and Eastern Europe, Middle East and Africa",South Africa,Consumer Staples,"3,400,000,000.00",Mid,21.67
S666,CLINUVEL PHARM LTD NPV,,Asia Pacific ex Japan,Australia,Health Care,"844,200,000.00",Small,88.33
S667,CLIPPER LOGISTICS ORD GBP0.0005,,Western Europe,United Kingdom,Industrials,"674,100,000.00",Small,24.71
S668,CLOETTA AB SER'B'NPV,CLOEF,Western Europe,Sweden,Consumer Staples,"808,600,000.00",Small,64.22
S669,CLOSE BROS GROUP ORD GBP0.25,,Western Europe,United Kingdom,Financials,"2,100,000,000.00",Mid,35.29
S670,CLP HOLDINGS LTD NPV,,Asia Pacific ex Japan,Hong Kong,Utilities,"23,800,000,000.00",Large,42.84
S671,CLS HLDGS ORD GBP0.025,,Western Europe,United Kingdom,Real Estate,"1,100,000,000.00",Mid,58.98
S672,CMNWLTH BK OF AUST NPV,,Asia Pacific ex Japan,Australia,Financials,"87,000,000,000.00",Large,38.45
S673,CNH INDUSTRIAL NV COM EUR0.01,,Western Europe,Italy,Industrials,"11,500,000,000.00",Large,90.96
S674,CNP ASSURANCES EUR1.00,,Western Europe,France,Financials,"8,700,000,000.00",Large,16.88
S675,COATS GROUP PLC ORD GBP0.05,,Western Europe,United Kingdom,Consumer Discretionary,"1,100,000,000.00",Mid,27.69
S676,COCA COLA BOTTLERS NPV,,Japan,Japan,Consumer Staples,"3,400,000,000.00",Mid,53.93
S677,COCA COLA EUROPEAN PARTNERS SHS,,Western Europe,United Kingdom,Consumer Staples,"18,400,000,000.00",Large,17.39
S678,COCA-COLA AMATIL NPV,,Asia Pacific ex Japan,Australia,Consumer Staples,"5,200,000,000.00",Large,54.11
S679,COCA-COLA HBC AG ORD CHF6.70,,Western Europe,Switzerland,Consumer Staples,"9,300,000,000.00",Large,41.42
S680,COCHLEAR LTD NPV,,Asia Pacific ex Japan,Australia,Health Care,"10,000,000,000.00",Large,83.35
S681,COCOKARA FINE INC NPV,,Japan,Japan,Consumer Staples,"2,100,000,000.00",Mid,30.37
S682,CODAN LTD NPV,,Asia Pacific ex Japan,Australia,Information Technology,"1,600,000,000.00",Mid,51.32
S683,COFINIMMO SA NPV,,Western Europe,Belgium,Real Estate,"4,100,000,000.00",Large,92.63
S684,COGECO COMMUNICATIONS INC SUB VTG SHS,CGEAF,Canada,Canada,Communication Services,"4,000,000,000.00",Large,90.49
S685,COGECO INC SUB VTG SH,CGECF,Canada,Canada,Communication Services,"963,500,000.00",Small,75.53
S686,COLES GROUP LTD NPV,,Asia Pacific ex Japan,Australia,Consumer Staples,"16,900,000,000.00",Large,102.79
S687,COLLIERS INTL GROUP INC SUB VTG SHS,,Canada,Canada,Real Estate,"2,700,000,000.00",Mid,105.45
S688,COLLINS FOOD LTD NPV,,Asia Pacific ex Japan,Australia,Consumer Discretionary,"886,200,000.00",Small,100.36
S689,COLOPL INC NPV,,Japan,Japan,Communication Services,"1,200,000,000.00",Mid,12.26
S690,COLOPLAST SER'B'DKK1,CLPBF,Western Europe,Denmark,Health Care,"30,900,000,000.00",Large,36.27
S691,COLOWIDE CO LTD NPV,,Japan,Japan,Consumer Discretionary,"1,200,000,000.00",Mid,46.25
S692,COLRUYT SA NPV,,Western Europe,Belgium,Consumer Staples,"8,700,000,000.00",Large,66.04
S693,COLTENE HOLDING AG CHF0.10 (REGD),CLHLF,Western Europe,Switzerland,Health Care,"468,700,000.00",Small,103.59
S694,COMET HOLDINGS CHF1 (REGD),,Western Europe,Switzerland,Information Technology,"1,300,000,000.00",Mid,96.99
S695,COMFORIA RESI REIT REIT,,Japan,Japan,Real Estate,"1,900,000,000.00",Mid,21.42
S696,COMFORT GLOVES BER NPV,,Asia Pacific ex Japan,Malaysia,Materials,"528,300,000.00",Small,70.16
S697,COMFORTDELGRO CORP NPV,CDGLF,Asia Pacific ex Japan,Singapore,Industrials,"2,300,000,000.00",Mid,23.61
S698,COMINAR REAL ESTATE INVT TR UNITS,CMLEF,Canada,Canada,Real Estate,"1,100,000,000.00",Mid,8.96
S699,COMMERZBANK AG NPV,,Western Europe,Germany,Financials,"7,000,000,000.00",Large,13.74
S700,COMPAL ELECTRONIC TWD10,CMPLF,Asia Pacific ex Japan,Taiwan,Information Technology,"2,900,000,000.00",Mid,54.42
S701,COMPASS GROUP ORD GBP0.1105,,Western Europe,United Kingdom,Consumer Discretionary,"29,200,000,000.00",Large,75.2
S702,COMPEQ MFG TWD10,,Asia Pacific ex Japan,Taiwan,Information Technology,"1,900,000,000.00",Mid,102.73
S703,COMPUGROUP MEDICAL NPV (REGD),,Western Europe,Germany,Health Care,"5,000,000,000.00",Large,83.29
S704,COMPUTACENTER ORD GBP0.075555,,Western Europe,United Kingdom,Information Technology,"3,700,000,000.00",Large,54.7
S705,COMPUTERSHARE LTD NPV,,Asia Pacific ex Japan,Australia,Information Technology,"5,100,000,000.00",Large,55.83
S706,COMSYS HOLDINGS NPV,,Japan,Japan,Industrials,"3,900,000,000.00",Large,72.22
S707,CONCENTRIC AB NPV,CCNTF,Western Europe,Sweden,Industrials,"747,600,000.00",Small,87.76
S708,CONCORDIA FINANCIA NPV,,Japan,Japan,Financials,"4,300,000,000.00",Large,48.18
S709,CONSTELLATION SOFTWARE INC COM,CNSWF,Canada,Canada,Information Technology,"24,300,000,000.00",Large,10.18
S710,CONSTELLIUM SE CL A SHS,,Western Europe,France,Materials,"1,300,000,000.00",Mid,34.64
S711,CONSTR Y AUX FERRO EUR0.301,,Western Europe,Spain,Industrials,"1,200,000,000.00",Mid,87.92
S712,CONTACT ENERGY NPV,COENF,Asia Pacific ex Japan,New Zealand,Utilities,"3,800,000,000.00",Large,34.66
S713,CONTINENTAL AG ORD NPV,,Western Europe,Germany,Consumer Discretionary,"23,800,000,000.00",Large,93.96
S714,CONTOURGLOBAL PLC ORD GBP0.01,,Western Europe,United Kingdom,Utilities,"1,700,000,000.00",Mid,99.9
S715,CONVATEC GROUP PLC ORD GBP0.1,,Western Europe,United Kingdom,Health Care,"4,600,000,000.00",Large,66.65
S716,CONZZETA AG CHF2 (REGD) 'A',CNZZF,Western Europe,Switzerland,Industrials,"1,900,000,000.00",Mid,69.92
S717,COOKPAD INC. NPV,,Japan,Japan,Communication Services,"383,500,000.00",Small,54.72
S718,COOPER ENERGY LTD NPV,,Asia Pacific ex Japan,Australia,Energy,"418,100,000.00",Small,107.9
S719,COOR SERVICE MANAG NPV,,Western Europe,Sweden,Industrials,"685,300,000.00",Small,19.41
S720,CORBION N.V. EUR0.25,,Western Europe,Netherlands,Materials,"3,000,000,000.00",Mid,69.64
S721,CORETRONICS CORP TWD10,CCOCF,Asia Pacific ex Japan,Taiwan,Information Technology,"510,800,000.00",Small,13.09
S722,CORONATION FUND MA ZAR0.0001,COFUF,"Central and Eastern Europe, Middle East and Africa",South Africa,Financials,"855,900,000.00",Small,65.23
S723,CORPORACION INMOBI COM NPV,VESTF,Latin America,Mexico,Real Estate,"1,100,000,000.00",Mid,66.06
S724,CORPORATE TRAVEL NPV,,Asia Pacific ex Japan,Australia,Consumer Discretionary,"1,900,000,000.00",Mid,89.01
S725,CORUS ENTERTAINMENT INC CL B NON VTG,CJREF,Canada,Canada,Communication Services,"467,100,000.00",Small,43.66
S726,COSCO CAPITAL INC PHP1,COCCF,Asia Pacific ex Japan,Philippines,Consumer Staples,"766,300,000.00",Small,97.37
S727,COSMO ENERGY HLDGS NPV,5021:XTKS,Japan,Japan,Energy,"1,300,000,000.00",Mid,67.71
S728,COSMO PHARMA N.V. EUR0.26 (REGD),CMOPF,Western Europe,Italy,Health Care,"1,400,000,000.00",Mid,45.67
S729,COSMOS PHARMACEUTI NPV,,Japan,Japan,Consumer Staples,"6,700,000,000.00",Large,17.64
S730,COSTA GROUP HLDGS NPV,,Asia Pacific ex Japan,Australia,Consumer Staples,"1,100,000,000.00",Mid,46.07
S731,COUNTRYSIDE PROPER ORD GBP0.01,,Western Europe,United Kingdom,Consumer Discretionary,"2,500,000,000.00",Mid,93.38
S732,COVESTRO AG NPV,,Western Europe,Germany,Materials,"9,700,000,000.00",Large,43.82
S733,CRANSWICK ORD GBP0.10,,Western Europe,United Kingdom,Consumer Staples,"2,400,000,000.00",Mid,12.08
S734,CRAYON GROUP HLD NOK1,,Western Europe,Norway,Information Technology,"1,000,000,000.00",Mid,37.67
S735,CRE LOGISTICS REIT NPV,3487:XTKS,Japan,Japan,Real Estate,"644,400,000.00",Small,85.54
S736,CREADES AB SER'A'NPV,CCRRF,Western Europe,Sweden,Financials,"858,100,000.00",Small,97.38
S737,CREATE RESTAURANTS NPV,,Japan,Japan,Consumer Discretionary,"1,200,000,000.00",Mid,36.58
S738,CREATE SD HOLDINGS NPV,3148:XTKS,Japan,Japan,Consumer Staples,"2,300,000,000.00",Mid,53.47
S739,CREDIT AGRICOLE SA EUR3,,Western Europe,France,Financials,"26,200,000,000.00",Large,86.38
S740,CREDIT CORP GROUP NPV,CCP:XASX,Asia Pacific ex Japan,Australia,Financials,"929,400,000.00",Small,102.1
S741,CREDIT SAISON CO NPV,,Japan,Japan,Financials,"2,100,000,000.00",Mid,47
S742,CREDIT SUISSE GP CHF0.04 (REGD),,Western Europe,Switzerland,Financials,"25,700,000,000.00",Large,39.41
S743,CREDITO EMILIANO EUR1,,Western Europe,Italy,Financials,"1,500,000,000.00",Mid,63.99
S744,CREDITO VALTELLINE NPV POST SPLIT,CVAL:MTAA,Western Europe,Italy,Financials,"624,500,000.00",Small,44.32
S745,CRESCENT PT ENERGY CORP COM,,Canada,Canada,Energy,"722,700,000.00",Small,71.79
S746,CREST NICHOLSON H ORD GBP0.05,CRST:XLON,Western Europe,United Kingdom,Consumer Discretionary,"826,700,000.00",Small,46.39
S747,CRISPR THERAPEUTICS AG NAMEN AKT,,Western Europe,Switzerland,Health Care,"6,900,000,000.00",Large,40.19
S748,CROMBIE REAL ESTATE INVT TR UNIT,,Canada,Canada,Real Estate,"960,800,000.00",Small,85.91
S749,CROMWELL EU REIT NPV EUROPEAN REIT (EUR),CRMWF,Asia Pacific ex Japan,Singapore,Real Estate,"1,400,000,000.00",Mid,86.06
S750,CRONOS GROUP INC COM,,Canada,Canada,Health Care,"2,000,000,000.00",Mid,17.23
S751,CROPENERGIES AG NPV (BR),CPGSF,Western Europe,Germany,Energy,"1,400,000,000.00",Mid,69.86
S752,CROWN RESORTS LIM NPV,,Asia Pacific ex Japan,Australia,Consumer Discretionary,"4,400,000,000.00",Large,72.37
S753,CSBC CORPORATION TWD10,,Asia Pacific ex Japan,Taiwan,Industrials,"410,700,000.00",Small,38.88
S754,CSL NPV,,Asia Pacific ex Japan,Australia,Health Care,"97,300,000,000.00",Large,88.11
S755,CSR LIMITED NPV,,Asia Pacific ex Japan,Australia,Materials,"1,600,000,000.00",Mid,89.02
S756,CT REAL ESTATE INVT TR UNIT,CTRRF,Canada,Canada,Real Estate,"1,100,000,000.00",Mid,84.79
S757,CTBC FINANCIAL HOL TWD10,CTFHF,Asia Pacific ex Japan,Taiwan,Financials,"13,600,000,000.00",Large,106.31
S758,CTCI CORP TWD10,,Asia Pacific ex Japan,Taiwan,Industrials,"1,100,000,000.00",Mid,73.91
S759,CTS EVENTIM AG & C NPV,CEVMF,Western Europe,Germany,Communication Services,"4,800,000,000.00",Large,35.79
S760,CYBER AGENT NPV,,Japan,Japan,Communication Services,"7,900,000,000.00",Large,48.38
S761,CYBERARK SOFTWARE LTD SHS,,"Central and Eastern Europe, Middle East and Africa",Israel,Information Technology,"4,400,000,000.00",Large,47.47
S762,CYBERDYNE INC NPV,,Japan,Japan,Health Care,"1,300,000,000.00",Mid,63.14
S763,D'IETEREN NV NPV,,Western Europe,Belgium,Consumer Discretionary,"3,500,000,000.00",Mid,95.68
S764,D-LINK TWD10,DLINF,Asia Pacific ex Japan,Taiwan,Information Technology,"431,700,000.00",Small,98.69
S765,D/S NORDEN DKK1,DPBSF,Western Europe,Denmark,Industrials,"679,400,000.00",Small,36.46
S766,DAETWYLER HLDG CHF0.05 (BR),,Western Europe,Switzerland,Industrials,"3,000,000,000.00",Mid,28.04
S767,DAH SING BANKING G NPV,,Asia Pacific ex Japan,Hong Kong,Financials,"1,200,000,000.00",Mid,48.92
S768,DAH SING FINANCIAL NPV,,Asia Pacific ex Japan,Hong Kong,Financials,"804,100,000.00",Small,54.95
S769,DAI NIPPON PRINTNG NPV,,Japan,Japan,Industrials,"6,400,000,000.00",Large,19.92
S770,DAI-DAN CO LTD NPV,1980:XTKS,Japan,Japan,Industrials,"585,600,000.00",Small,105.57
S771,DAI-ICHI LIFE HOLD NPV,,Japan,Japan,Financials,"18,200,000,000.00",Large,85.44
S772,DAIBIRU CORP NPV,,Japan,Japan,Real Estate,"1,400,000,000.00",Mid,82.51
S773,DAICEL CORPORATION NPV,,Japan,Japan,Materials,"2,300,000,000.00",Mid,81.94
S774,DAIDO STEEL CO NPV,,Japan,Japan,Materials,"1,400,000,000.00",Mid,14.26
S775,DAIFUKU CO LTD NPV,,Japan,Japan,Industrials,"13,300,000,000.00",Large,86.66
S776,DAIHEN CORP NPV,,Japan,Japan,Industrials,"1,000,000,000.00",Mid,40.14
S777,DAIICHI JITSUGYO NPV,8059:XTKS,Japan,Japan,Industrials,"398,400,000.00",Small,78.95
S778,DAIICHI SANKYO COM NPV,4568:XTKS,Japan,Japan,Health Care,"58,200,000,000.00",Large,89.34
S779,DAIICHIKOSHO CO NPV,7458:XTKS,Japan,Japan,Communication Services,"2,000,000,000.00",Mid,30.86
S780,DAIKEN CORP NPV,7905:XTKS,Japan,Japan,Materials,"474,900,000.00",Small,85.79
S781,DAIKIN INDUSTRIES NPV,,Japan,Japan,Industrials,"53,300,000,000.00",Large,80.82
S782,DAIKOKUTENBUSSAN C NPV,,Japan,Japan,Consumer Staples,"770,300,000.00",Small,73.7
S783,DAIKYONISHIKAWA CO NPV,4246:XTKS,Japan,Japan,Consumer Discretionary,"436,600,000.00",Small,74.94
S784,DAILY MAIL&GEN TST ORD NON VTG GBP0.125 A,DMGT:XLON,Western Europe,United Kingdom,Communication Services,"1,900,000,000.00",Mid,86.06
S785,DAIMLER AG ORD NPV(REGD),,Western Europe,Germany,Consumer Discretionary,"61,000,000,000.00",Large,34.98
S786,DAINICHISEIKA C&C NPV,4116:XTKS,Japan,Japan,Materials,"394,500,000.00",Small,30.77
S787,DAIO PAPER CORP NPV,,Japan,Japan,Materials,"2,400,000,000.00",Mid,28.77
S788,DAIRY FARM INTL USD0.055555(SING),,Asia Pacific ex Japan,Hong Kong,Consumer Staples,"5,200,000,000.00",Large,13.98
S789,DAISEKI CO LTD NPV,,Japan,Japan,Industrials,"1,100,000,000.00",Mid,82.15
S790,DAITO TRUST CONST NPV,,Japan,Japan,Real Estate,"6,100,000,000.00",Large,9.39
S791,DAIWA HOUSE INDS NPV,,Japan,Japan,Real Estate,"18,200,000,000.00",Large,71.89
S792,DAIWA HOUSE REIT I REIT,,Japan,Japan,Real Estate,"5,500,000,000.00",Large,103.98
S793,DAIWA INDUSTRIES NPV,,Japan,Japan,Industrials,"457,400,000.00",Small,56.54
S794,DAIWA SECS GROUP NPV,,Japan,Japan,Financials,"7,300,000,000.00",Large,35.63
S795,DAIWA SECS LIVING REIT,,Japan,Japan,Real Estate,"2,100,000,000.00",Mid,14.96
S796,DAIWABO HOLDINGS NPV,3107:XTKS,Japan,Japan,Information Technology,"1,200,000,000.00",Mid,101.22
S797,DANIELI & C EUR1,DAN:MTAA,Western Europe,Italy,Industrials,"1,100,000,000.00",Mid,46.42
S798,DANONE EUR0.25,,Western Europe,France,Consumer Staples,"45,100,000,000.00",Large,72.3
S799,DANSKE BANK A/S DKK10,,Western Europe,Denmark,Financials,"12,500,000,000.00",Large,89.11
S800,DASSAULT AVIATION EUR8,,Western Europe,France,Industrials,"7,500,000,000.00",Large,40.64
S801,DASSAULT SYSTEMES EUR0.50,,Western Europe,France,Information Technology,"50,300,000,000.00",Large,78.51
S802,DATA 3 LTD NPV,,Asia Pacific ex Japan,Australia,Information Technology,"774,800,000.00",Small,93.21
S803,DATALOGIC SPA EUR0.52,,Western Europe,Italy,Information Technology,"828,000,000.00",Small,67.04
S804,DBS GROUP HLDGS NPV,,Asia Pacific ex Japan,Singapore,Financials,"39,900,000,000.00",Large,33.02
S805,DCM HOLDINGS CO NPV,3050:XTKS,Japan,Japan,Consumer Discretionary,"2,200,000,000.00",Mid,79.26
S806,DE GREY MINING LTD NPV,,Asia Pacific ex Japan,Australia,Materials,"1,200,000,000.00",Mid,21.96
S807,DE LONGHI SPA EUR1.50,,Western Europe,Italy,Consumer Discretionary,"5,400,000,000.00",Large,78.74
S808,DECHRA PHARMA ORD GBP0.01,,Western Europe,United Kingdom,Health Care,"4,700,000,000.00",Large,107.97
S809,DELEK AUTOMOTIVE S ILS1,,"Central and Eastern Europe, Middle East and Africa",Israel,Consumer Discretionary,"473,200,000.00",Small,88.13
S810,DELIVERY HERO SE NPV,DLVHF,Western Europe,Germany,Consumer Discretionary,"23,300,000,000.00",Large,74.29
S811,DELTA ELECTRONIC TWD10,,Asia Pacific ex Japan,Taiwan,Information Technology,"17,500,000,000.00",Large,106.78
S812,DELTA-GALIL IND ILS1,,"Central and Eastern Europe, Middle East and Africa",Israel,Consumer Discretionary,"472,100,000.00",Small,22.35
S813,DEMAE-CAN CO LTD NPV,YUMSF,Japan,Japan,Consumer Discretionary,"2,600,000,000.00",Mid,46.89
S814,DEMANT A/S DKK0.20,WILLF,Western Europe,Denmark,Health Care,"7,800,000,000.00",Large,46.7
S815,DENA CO LTD NPV,,Japan,Japan,Communication Services,"2,400,000,000.00",Mid,45.9
S816,DENKA COMPANY LTD NPV,,Japan,Japan,Materials,"2,700,000,000.00",Mid,25.62
S817,DENSO CORP NPV,,Japan,Japan,Consumer Discretionary,"36,200,000,000.00",Large,37.28
S818,DENTSU GROUP INC NPV,,Japan,Japan,Communication Services,"8,300,000,000.00",Large,85.07
S819,DERICHEBOURG EUR0.25,,Western Europe,France,Industrials,"501,400,000.00",Small,15.26
S820,DERWENT LONDON ORD GBP0.05,,Western Europe,United Kingdom,Real Estate,"4,100,000,000.00",Large,80.39
S821,DESCARTES SYS GROUP INC COM,,Canada,Canada,Information Technology,"4,800,000,000.00",Large,49.07
S822,DESCENTE LTD NPV,,Japan,Japan,Consumer Discretionary,"1,200,000,000.00",Mid,13.07
S823,DEUTSCHE BANK AG NPV(REGD),,Western Europe,Germany,Financials,"19,200,000,000.00",Large,78.24
S824,DEUTSCHE BOERSE AG NPV(REGD),,Western Europe,Germany,Financials,"33,200,000,000.00",Large,51.51
S825,DEUTSCHE EUROSHOP NPV (REGD),DUSCF,Western Europe,Germany,Real Estate,"900,200,000.00",Small,49.67
S826,DEUTSCHE LUFTHANSA ORD NPV (REGD)(VINK),,Western Europe,Germany,Industrials,"5,400,000,000.00",Large,11.77
S827,DEUTSCHE PFAND AG NPV,PBBGF,Western Europe,Germany,Financials,"947,000,000.00",Small,37.58
S828,DEUTSCHE POST AG NPV(REGD),,Western Europe,Germany,Industrials,"60,500,000,000.00",Large,101.93
S829,DEUTSCHE TELEKOM NPV(REGD),,Western Europe,Germany,Communication Services,"81,000,000,000.00",Large,68.36
S830,DEUTSCHE WOHNEN SE NPV (BR),,Western Europe,Germany,Real Estate,"19,000,000,000.00",Large,29.66
S831,DEUTZ AG NPV,DEUZF,Western Europe,Germany,Industrials,"720,400,000.00",Small,83.4
S832,DEXERIALS CORP NPV,4980:XTKS,Japan,Japan,Information Technology,"696,300,000.00",Small,13.35
S833,DFDS AS DKK20,DFDDF,Western Europe,Denmark,Industrials,"2,200,000,000.00",Mid,73.04
S834,DIAGEO ORD GBP0.28 101/108,,Western Europe,United Kingdom,Consumer Staples,"82,300,000,000.00",Large,36.25
S835,DIALOG GROUP NPV,,Asia Pacific ex Japan,Malaysia,Energy,"5,200,000,000.00",Large,12.18
S836,DIALOG SEMICONDUCT GBP0.10,DLGNF,Western Europe,Germany,Information Technology,"3,700,000,000.00",Large,39.88
S837,DIASORIN SPA EUR1,,Western Europe,Italy,Health Care,"12,400,000,000.00",Large,42.11
S838,DIC ASSET AG NPV (REG),DDCCF,Western Europe,Germany,Real Estate,"985,400,000.00",Small,56.81
S839,DIC CORPORATION NPV,,Japan,Japan,Materials,"2,400,000,000.00",Mid,103.99
S840,DICKER DATA LTD NPV,DDR:XASX,Asia Pacific ex Japan,Australia,Information Technology,"1,100,000,000.00",Mid,92.13
S841,DIGI.COM.BERHAD MYR0.01,DIGBF,Asia Pacific ex Japan,Malaysia,Communication Services,"7,800,000,000.00",Large,38.51
S842,DIGITAL ARTS INC NPV,2326:XTKS,Japan,Japan,Information Technology,"1,100,000,000.00",Mid,97.67
S843,DIGITAL GARAGE NPV,,Japan,Japan,Information Technology,"1,700,000,000.00",Mid,17.26
S844,DIP CORPORATION NPV,,Japan,Japan,Communication Services,"1,300,000,000.00",Mid,32.34
S845,DIPLOMA ORD GBP0.05,DPLM:XLON,Western Europe,United Kingdom,Industrials,"3,600,000,000.00",Large,41.6
S846,DIS-CHEM PHARMACIE NPV,,"Central and Eastern Europe, Middle East and Africa",South Africa,Consumer Staples,"912,800,000.00",Small,18.99
S847,DISCO CORPORATION NPV,,Japan,Japan,Information Technology,"9,500,000,000.00",Large,90.77
S848,DISCOVERY LIMITED ZAR0.001,DCYHF,"Central and Eastern Europe, Middle East and Africa",South Africa,Financials,"5,100,000,000.00",Large,48.09
S849,DISTELL GP HLDGS ZAR0.01,DSTZF,"Central and Eastern Europe, Middle East and Africa",South Africa,Consumer Staples,"985,700,000.00",Small,28.93
S850,DISTRIBUIDORA INTL EUR0.01,DIDAF,Western Europe,Spain,Consumer Staples,"860,800,000.00",Small,81.42
S851,DIVERSIFIED GAS & ORD GBP0.01,,Western Europe,United Kingdom,Energy,"989,300,000.00",Small,74.1
S852,DIXONS CARPHONE ORD GBP0.001,,Western Europe,United Kingdom,Consumer Discretionary,"1,500,000,000.00",Mid,76.1
S853,DKSH HOLDING AG CHF0.10 (REGD),DKSHF,Western Europe,Switzerland,Industrials,"4,600,000,000.00",Large,62.33
S854,DMCI HLDGS INC PHP1,DMCIF,Asia Pacific ex Japan,Philippines,Industrials,"1,200,000,000.00",Mid,35.32
S855,DNO ASA NOK0.25,,Western Europe,Norway,Energy,"502,100,000.00",Small,12.42
S856,DO & CO AG NPV,DOCOF,Western Europe,Austria,Industrials,"407,900,000.00",Small,21.66
S857,DOCEBO INC COM,DCBOF,Canada,Canada,Information Technology,"1,100,000,000.00",Mid,22.13
S858,DOLLARAMA INC COM,DLMAF,Canada,Canada,Consumer Discretionary,"12,300,000,000.00",Large,22.79
S859,DOMAIN HLDGS AUSTR NPV,DHG:XASX,Asia Pacific ex Japan,Australia,Communication Services,"1,700,000,000.00",Mid,62.75
S860,DOMETIC GROUP AB NPV,DTCGF,Western Europe,Sweden,Consumer Discretionary,"3,800,000,000.00",Large,26.5
S861,DOMINO'S PIZZA GRP ORD GBP0.00520833,,Western Europe,United Kingdom,Consumer Discretionary,"2,200,000,000.00",Mid,37.43
S862,DOMINOS PIZZA ENT NPV,,Asia Pacific ex Japan,Australia,Consumer Discretionary,"5,200,000,000.00",Large,20.96
S863,DOSHISHA CO LTD NPV,,Japan,Japan,Consumer Discretionary,"716,000,000.00",Small,29.69
S864,DOUTOR NICHIRES HO NPV,3087:XTKS,Japan,Japan,Consumer Discretionary,"728,200,000.00",Small,106.3
S865,DOVALUE NPV,,Western Europe,Italy,Financials,"838,200,000.00",Small,100.29
S866,DOWA HOLDINGS NPV,,Japan,Japan,Materials,"1,800,000,000.00",Mid,100.67
S867,DOWNER EDI LTD NPV,,Asia Pacific ex Japan,Australia,Industrials,"2,500,000,000.00",Mid,9.99
S868,DR HOENLE AG NPV,,Western Europe,Germany,Industrials,"394,400,000.00",Small,45.29
S869,DRAX GROUP ORD GBP0.1155172,,Western Europe,United Kingdom,Utilities,"1,500,000,000.00",Mid,37.79
S870,DRB-HICOM BERHAD NPV,,Asia Pacific ex Japan,Malaysia,Consumer Discretionary,"957,700,000.00",Small,40.49
S871,DRDGOLD LTD NPV,,"Central and Eastern Europe, Middle East and Africa",South Africa,Materials,"1,100,000,000.00",Mid,50.84
S872,DREAM INDL REAL ESTATE INVT TR UNIT,,Canada,Canada,Real Estate,"1,300,000,000.00",Mid,10.51
S873,DREAM OFFICE REAL EST INV TR TR UNIT SER A,DRETF,Canada,Canada,Real Estate,"814,400,000.00",Small,11.78
S874,DREAM UNLIMITED CORP COM CL A SUB VTG,DRUNF,Canada,Canada,Real Estate,"660,200,000.00",Small,87.17
S875,DRILLING CO 1972 DKK10,DDRLF,Western Europe,Denmark,Energy,"929,700,000.00",Small,96.91
S876,DSV PANALPINA A/S DKK1,,Western Europe,Denmark,Industrials,"38,900,000,000.00",Large,28.32
S877,DUERR AG ORD NPV,,Western Europe,Germany,Industrials,"2,300,000,000.00",Mid,80.25
S878,DUFRY AG CHF5 (REGD),,Western Europe,Switzerland,Consumer Discretionary,"2,500,000,000.00",Mid,36.73
S879,DUNDEE PRECIOUS METALS INC COM,DPMLF,Canada,Canada,Materials,"1,500,000,000.00",Mid,95.46
S880,DUNELM GROUP PLC ORD GBP0.01,,Western Europe,United Kingdom,Consumer Discretionary,"4,100,000,000.00",Large,93.03
S881,DUNI AB NPV,,Western Europe,Sweden,Consumer Discretionary,"528,800,000.00",Small,34.15
S882,DUSKIN CO.LTD NPV,4665:XTKS,Japan,Japan,Industrials,"1,400,000,000.00",Mid,34.89
S883,DWS GROUP SE NPV,,Western Europe,Germany,Financials,"7,300,000,000.00",Large,76.43
S884,DYACO INTERNATIONA TWD10,,Asia Pacific ex Japan,Taiwan,Consumer Discretionary,"536,900,000.00",Small,102.34
S885,DYDO GROUP HOLDING NPV,,Japan,Japan,Consumer Staples,"820,500,000.00",Small,25.71
S886,DYNAM JAPAN HLDGS NPV,,Japan,Japan,Consumer Discretionary,"793,700,000.00",Small,48.41
S887,DYNAPACK INTL TECH TWD10,,Asia Pacific ex Japan,Taiwan,Information Technology,"413,800,000.00",Small,104.87
S888,E INK HOLDINGS INC TWD10,PVWIF,Asia Pacific ex Japan,Taiwan,Information Technology,"1,500,000,000.00",Mid,85.78
S889,E.ON SE NPV,,Western Europe,Germany,Utilities,"30,400,000,000.00",Large,65.78
S890,E.SUN FINL HLDGS TWD10,,Asia Pacific ex Japan,Taiwan,Financials,"11,100,000,000.00",Large,84.73
S891,EAGERS AUTOMOTIVE NPV,,Asia Pacific ex Japan,Australia,Consumer Discretionary,"2,100,000,000.00",Mid,103.39
S892,EAGLE INDUSTRY CO NPV,6486:XTKS,Japan,Japan,Consumer Discretionary,"383,100,000.00",Small,33.37
S893,EARTH CORPORATION NPV,,Japan,Japan,Consumer Staples,"1,500,000,000.00",Mid,81.58
S894,EAST JAPAN RAILWAY NPV,,Japan,Japan,Industrials,"22,700,000,000.00",Large,30.83
S895,EASYJET ORD GBP0.27285714,,Western Europe,United Kingdom,Industrials,"3,100,000,000.00",Mid,14.55
S896,EBARA CORP NPV,,Japan,Japan,Industrials,"2,700,000,000.00",Mid,13.68
S897,EBRO FOODS SA EUR0.60,,Western Europe,Spain,Consumer Staples,"3,500,000,000.00",Mid,34.36
S898,EC WORLD REIT NPV (REIT),ECWDF,Asia Pacific ex Japan,Singapore,Real Estate,"401,500,000.00",Small,95.97
S899,ECKERT & ZIEGLER NPV (BR),EKZRF,Western Europe,Germany,Health Care,"1,100,000,000.00",Mid,77.58
